destination,passanger,weather,temperature,time,coupon,expiration,gender,maritalStatus,has_children,education,occupation,Bar,CoffeeHouse,CarryAway,RestaurantLessThan20,Restaurant20To50,direction_same,Y,rich,middleclass,poor,age0,age21,age31,age41,age51,distance
No Urgent Place,Friend(s),Sunny,55,2PM,Carry out & Take away,1d,Male,Single,0,Bachelors degree,Architecture & Engineering,0,1,3,3,1,0,1,1,0,0,0,1,0,0,0,1
No Urgent Place,Alone,Sunny,55,10AM,Coffee House,2h,Male,Single,0,Bachelors degree,Architecture & Engineering,0,1,3,3,1,0,0,1,0,0,0,1,0,0,0,0
Home,Alone,Sunny,55,6PM,Bar,1d,Male,Single,0,Bachelors degree,Architecture & Engineering,0,1,3,3,1,1,1,1,0,0,0,1,0,0,0,0
Home,Alone,Sunny,55,6PM,Restaurant(20-50),1d,Male,Single,0,Bachelors degree,Architecture & Engineering,0,1,3,3,1,0,0,1,0,0,0,1,0,0,0,1
Home,Alone,Sunny,80,6PM,Coffee House,2h,Male,Single,0,Bachelors degree,Architecture & Engineering,0,1,3,3,1,0,0,1,0,0,0,1,0,0,0,0
Work,Alone,Sunny,55,7AM,Coffee House,2h,Male,Single,0,Bachelors degree,Architecture & Engineering,0,1,3,3,1,0,0,1,0,0,0,1,0,0,0,2
Work,Alone,Sunny,55,7AM,Bar,1d,Male,Single,0,Bachelors degree,Architecture & Engineering,0,1,3,3,1,0,1,1,0,0,0,1,0,0,0,2
Work,Alone,Sunny,80,7AM,Restaurant(20-50),1d,Male,Single,0,Bachelors degree,Architecture & Engineering,0,1,3,3,1,0,0,1,0,0,0,1,0,0,0,1
Work,Alone,Sunny,80,7AM,Carry out & Take away,2h,Male,Single,0,Bachelors degree,Architecture & Engineering,0,1,3,3,1,1,1,1,0,0,0,1,0,0,0,0
Work,Alone,Sunny,55,7AM,Restaurant(<20),1d,Male,Single,0,Bachelors degree,Architecture & Engineering,0,1,3,3,1,0,1,1,0,0,0,1,0,0,0,0
Work,Alone,Sunny,55,7AM,Coffee House,2h,Male,Single,0,Bachelors degree,Architecture & Engineering,0,1,3,3,1,0,0,1,0,0,0,1,0,0,0,1
No Urgent Place,Alone,Sunny,55,2PM,Restaurant(<20),1d,Male,Single,0,Some college - no degree,Student,0,3,2,2,0,0,1,0,0,1,0,0,0,1,0,0
No Urgent Place,Friend(s),Sunny,80,10AM,Coffee House,2h,Male,Single,0,Some college - no degree,Student,0,3,2,2,0,0,1,0,0,1,0,0,0,1,0,0
No Urgent Place,Friend(s),Sunny,80,10AM,Bar,1d,Male,Single,0,Some college - no degree,Student,0,3,2,2,0,0,0,0,0,1,0,0,0,1,0,0
No Urgent Place,Friend(s),Sunny,80,10AM,Carry out & Take away,2h,Male,Single,0,Some college - no degree,Student,0,3,2,2,0,0,1,0,0,1,0,0,0,1,0,1
No Urgent Place,Friend(s),Sunny,80,2PM,Coffee House,1d,Male,Single,0,Some college - no degree,Student,0,3,2,2,0,0,1,0,0,1,0,0,0,1,0,0
No Urgent Place,Friend(s),Sunny,80,2PM,Coffee House,2h,Male,Single,0,Some college - no degree,Student,0,3,2,2,0,0,1,0,0,1,0,0,0,1,0,1
No Urgent Place,Friend(s),Sunny,80,2PM,Coffee House,1d,Male,Single,0,Some college - no degree,Student,0,3,2,2,0,0,0,0,0,1,0,0,0,1,0,1
No Urgent Place,Friend(s),Sunny,80,2PM,Restaurant(<20),1d,Male,Single,0,Some college - no degree,Student,0,3,2,2,0,0,1,0,0,1,0,0,0,1,0,1
No Urgent Place,Friend(s),Sunny,80,6PM,Coffee House,2h,Male,Single,0,Some college - no degree,Student,0,3,2,2,0,0,0,0,0,1,0,0,0,1,0,0
No Urgent Place,Friend(s),Sunny,80,6PM,Restaurant(<20),2h,Male,Single,0,Some college - no degree,Student,0,3,2,2,0,0,1,0,0,1,0,0,0,1,0,1
No Urgent Place,Friend(s),Sunny,55,2PM,Coffee House,2h,Male,Single,0,Some college - no degree,Student,0,3,2,2,0,0,1,0,0,1,0,0,0,1,0,0
No Urgent Place,Friend(s),Sunny,55,2PM,Carry out & Take away,1d,Male,Single,0,Some college - no degree,Student,0,3,2,2,0,0,1,0,0,1,0,0,0,1,0,1
No Urgent Place,Alone,Sunny,55,10AM,Coffee House,2h,Male,Single,0,Some college - no degree,Student,0,3,2,2,0,0,1,0,0,1,0,0,0,1,0,0
Home,Alone,Sunny,55,6PM,Bar,1d,Male,Single,0,Some college - no degree,Student,0,3,2,2,0,1,0,0,0,1,0,0,0,1,0,0
Home,Alone,Sunny,55,6PM,Restaurant(20-50),1d,Male,Single,0,Some college - no degree,Student,0,3,2,2,0,0,0,0,0,1,0,0,0,1,0,1
Home,Alone,Sunny,80,6PM,Coffee House,2h,Male,Single,0,Some college - no degree,Student,0,3,2,2,0,0,0,0,0,1,0,0,0,1,0,0
Work,Alone,Sunny,55,7AM,Coffee House,2h,Male,Single,0,Some college - no degree,Student,0,3,2,2,0,0,0,0,0,1,0,0,0,1,0,2
Work,Alone,Sunny,55,7AM,Bar,1d,Male,Single,0,Some college - no degree,Student,0,3,2,2,0,0,0,0,0,1,0,0,0,1,0,2
Work,Alone,Sunny,80,7AM,Restaurant(20-50),1d,Male,Single,0,Some college - no degree,Student,0,3,2,2,0,0,0,0,0,1,0,0,0,1,0,1
Work,Alone,Sunny,80,7AM,Carry out & Take away,2h,Male,Single,0,Some college - no degree,Student,0,3,2,2,0,1,1,0,0,1,0,0,0,1,0,0
Work,Alone,Sunny,55,7AM,Restaurant(<20),1d,Male,Single,0,Some college - no degree,Student,0,3,2,2,0,0,0,0,0,1,0,0,0,1,0,0
Work,Alone,Sunny,55,7AM,Coffee House,2h,Male,Single,0,Some college - no degree,Student,0,3,2,2,0,0,0,0,0,1,0,0,0,1,0,1
No Urgent Place,Alone,Sunny,55,2PM,Restaurant(<20),1d,Male,Married partner,1,Bachelors degree,Education&Training&Library,1,2,2,2,1,0,1,1,0,0,0,0,0,1,0,0
No Urgent Place,Friend(s),Sunny,80,10AM,Coffee House,2h,Male,Married partner,1,Bachelors degree,Education&Training&Library,1,2,2,2,1,0,1,1,0,0,0,0,0,1,0,0
No Urgent Place,Friend(s),Sunny,80,10AM,Carry out & Take away,2h,Male,Married partner,1,Bachelors degree,Education&Training&Library,1,2,2,2,1,0,1,1,0,0,0,0,0,1,0,1
No Urgent Place,Friend(s),Sunny,80,2PM,Coffee House,2h,Male,Married partner,1,Bachelors degree,Education&Training&Library,1,2,2,2,1,0,1,1,0,0,0,0,0,1,0,1
No Urgent Place,Friend(s),Sunny,80,2PM,Coffee House,1d,Male,Married partner,1,Bachelors degree,Education&Training&Library,1,2,2,2,1,0,1,1,0,0,0,0,0,1,0,1
No Urgent Place,Friend(s),Sunny,80,6PM,Restaurant(<20),2h,Male,Married partner,1,Bachelors degree,Education&Training&Library,1,2,2,2,1,0,1,1,0,0,0,0,0,1,0,1
No Urgent Place,Friend(s),Sunny,55,2PM,Carry out & Take away,1d,Male,Married partner,1,Bachelors degree,Education&Training&Library,1,2,2,2,1,0,1,1,0,0,0,0,0,1,0,1
No Urgent Place,Kid(s),Sunny,80,10AM,Restaurant(<20),2h,Male,Married partner,1,Bachelors degree,Education&Training&Library,1,2,2,2,1,0,1,1,0,0,0,0,0,1,0,1
No Urgent Place,Kid(s),Sunny,80,10AM,Carry out & Take away,2h,Male,Married partner,1,Bachelors degree,Education&Training&Library,1,2,2,2,1,0,1,1,0,0,0,0,0,1,0,1
No Urgent Place,Kid(s),Sunny,80,10AM,Bar,1d,Male,Married partner,1,Bachelors degree,Education&Training&Library,1,2,2,2,1,0,1,1,0,0,0,0,0,1,0,1
No Urgent Place,Kid(s),Sunny,80,2PM,Restaurant(<20),1d,Male,Married partner,1,Bachelors degree,Education&Training&Library,1,2,2,2,1,0,1,1,0,0,0,0,0,1,0,0
No Urgent Place,Kid(s),Sunny,55,2PM,Restaurant(<20),1d,Male,Married partner,1,Bachelors degree,Education&Training&Library,1,2,2,2,1,0,1,1,0,0,0,0,0,1,0,1
No Urgent Place,Kid(s),Sunny,55,6PM,Coffee House,2h,Male,Married partner,1,Bachelors degree,Education&Training&Library,1,2,2,2,1,0,0,1,0,0,0,0,0,1,0,1
Home,Alone,Sunny,55,6PM,Bar,1d,Male,Married partner,1,Bachelors degree,Education&Training&Library,1,2,2,2,1,1,1,1,0,0,0,0,0,1,0,0
Home,Alone,Sunny,55,6PM,Restaurant(20-50),1d,Male,Married partner,1,Bachelors degree,Education&Training&Library,1,2,2,2,1,0,0,1,0,0,0,0,0,1,0,1
Home,Alone,Sunny,80,6PM,Coffee House,2h,Male,Married partner,1,Bachelors degree,Education&Training&Library,1,2,2,2,1,0,1,1,0,0,0,0,0,1,0,0
Work,Alone,Sunny,55,7AM,Coffee House,2h,Male,Married partner,1,Bachelors degree,Education&Training&Library,1,2,2,2,1,0,0,1,0,0,0,0,0,1,0,2
Work,Alone,Sunny,55,7AM,Bar,1d,Male,Married partner,1,Bachelors degree,Education&Training&Library,1,2,2,2,1,0,1,1,0,0,0,0,0,1,0,2
Work,Alone,Sunny,80,7AM,Restaurant(20-50),1d,Male,Married partner,1,Bachelors degree,Education&Training&Library,1,2,2,2,1,0,1,1,0,0,0,0,0,1,0,1
Work,Alone,Sunny,80,7AM,Carry out & Take away,2h,Male,Married partner,1,Bachelors degree,Education&Training&Library,1,2,2,2,1,1,0,1,0,0,0,0,0,1,0,0
Work,Alone,Sunny,55,7AM,Restaurant(<20),1d,Male,Married partner,1,Bachelors degree,Education&Training&Library,1,2,2,2,1,0,1,1,0,0,0,0,0,1,0,0
Work,Alone,Sunny,55,7AM,Coffee House,2h,Male,Married partner,1,Bachelors degree,Education&Training&Library,1,2,2,2,1,0,0,1,0,0,0,0,0,1,0,1
No Urgent Place,Alone,Sunny,55,2PM,Restaurant(<20),1d,Male,Single,0,Associates degree,Student,2,1,2,1,2,0,0,0,0,1,0,1,0,0,0,0
No Urgent Place,Friend(s),Sunny,80,10AM,Coffee House,2h,Male,Single,0,Associates degree,Student,2,1,2,1,2,0,1,0,0,1,0,1,0,0,0,0
No Urgent Place,Friend(s),Sunny,80,10AM,Bar,1d,Male,Single,0,Associates degree,Student,2,1,2,1,2,0,1,0,0,1,0,1,0,0,0,0
No Urgent Place,Friend(s),Sunny,80,10AM,Carry out & Take away,2h,Male,Single,0,Associates degree,Student,2,1,2,1,2,0,1,0,0,1,0,1,0,0,0,1
No Urgent Place,Friend(s),Sunny,80,2PM,Coffee House,1d,Male,Single,0,Associates degree,Student,2,1,2,1,2,0,1,0,0,1,0,1,0,0,0,0
No Urgent Place,Friend(s),Sunny,80,2PM,Coffee House,2h,Male,Single,0,Associates degree,Student,2,1,2,1,2,0,1,0,0,1,0,1,0,0,0,1
No Urgent Place,Friend(s),Sunny,80,2PM,Coffee House,1d,Male,Single,0,Associates degree,Student,2,1,2,1,2,0,1,0,0,1,0,1,0,0,0,1
No Urgent Place,Friend(s),Sunny,80,2PM,Restaurant(<20),1d,Male,Single,0,Associates degree,Student,2,1,2,1,2,0,1,0,0,1,0,1,0,0,0,1
No Urgent Place,Friend(s),Sunny,80,6PM,Coffee House,2h,Male,Single,0,Associates degree,Student,2,1,2,1,2,0,1,0,0,1,0,1,0,0,0,0
No Urgent Place,Friend(s),Sunny,80,6PM,Restaurant(<20),2h,Male,Single,0,Associates degree,Student,2,1,2,1,2,0,1,0,0,1,0,1,0,0,0,1
No Urgent Place,Friend(s),Sunny,55,2PM,Coffee House,2h,Male,Single,0,Associates degree,Student,2,1,2,1,2,0,1,0,0,1,0,1,0,0,0,0
No Urgent Place,Friend(s),Sunny,55,2PM,Carry out & Take away,1d,Male,Single,0,Associates degree,Student,2,1,2,1,2,0,1,0,0,1,0,1,0,0,0,1
No Urgent Place,Alone,Sunny,55,10AM,Coffee House,2h,Male,Single,0,Associates degree,Student,2,1,2,1,2,0,1,0,0,1,0,1,0,0,0,0
Home,Alone,Sunny,55,6PM,Bar,1d,Male,Single,0,Associates degree,Student,2,1,2,1,2,1,1,0,0,1,0,1,0,0,0,0
Home,Alone,Sunny,55,6PM,Restaurant(20-50),1d,Male,Single,0,Associates degree,Student,2,1,2,1,2,0,1,0,0,1,0,1,0,0,0,1
Home,Alone,Sunny,80,6PM,Coffee House,2h,Male,Single,0,Associates degree,Student,2,1,2,1,2,0,1,0,0,1,0,1,0,0,0,0
Work,Alone,Sunny,55,7AM,Coffee House,2h,Male,Single,0,Associates degree,Student,2,1,2,1,2,0,1,0,0,1,0,1,0,0,0,2
Work,Alone,Sunny,55,7AM,Bar,1d,Male,Single,0,Associates degree,Student,2,1,2,1,2,0,0,0,0,1,0,1,0,0,0,2
Work,Alone,Sunny,80,7AM,Restaurant(20-50),1d,Male,Single,0,Associates degree,Student,2,1,2,1,2,0,1,0,0,1,0,1,0,0,0,1
Work,Alone,Sunny,80,7AM,Carry out & Take away,2h,Male,Single,0,Associates degree,Student,2,1,2,1,2,1,1,0,0,1,0,1,0,0,0,0
Work,Alone,Sunny,55,7AM,Restaurant(<20),1d,Male,Single,0,Associates degree,Student,2,1,2,1,2,0,1,0,0,1,0,1,0,0,0,0
Work,Alone,Sunny,55,7AM,Coffee House,2h,Male,Single,0,Associates degree,Student,2,1,2,1,2,0,1,0,0,1,0,1,0,0,0,1
No Urgent Place,Alone,Sunny,55,2PM,Restaurant(<20),1d,Male,Unmarried partner,0,Bachelors degree,Student,2,4,3,2,1,0,1,0,1,0,0,1,0,0,0,0
No Urgent Place,Friend(s),Sunny,80,10AM,Coffee House,2h,Male,Unmarried partner,0,Bachelors degree,Student,2,4,3,2,1,0,1,0,1,0,0,1,0,0,0,0
No Urgent Place,Friend(s),Sunny,80,10AM,Bar,1d,Male,Unmarried partner,0,Bachelors degree,Student,2,4,3,2,1,0,1,0,1,0,0,1,0,0,0,0
No Urgent Place,Friend(s),Sunny,80,10AM,Carry out & Take away,2h,Male,Unmarried partner,0,Bachelors degree,Student,2,4,3,2,1,0,0,0,1,0,0,1,0,0,0,1
No Urgent Place,Friend(s),Sunny,80,2PM,Coffee House,1d,Male,Unmarried partner,0,Bachelors degree,Student,2,4,3,2,1,0,1,0,1,0,0,1,0,0,0,0
No Urgent Place,Friend(s),Sunny,80,2PM,Coffee House,2h,Male,Unmarried partner,0,Bachelors degree,Student,2,4,3,2,1,0,0,0,1,0,0,1,0,0,0,1
No Urgent Place,Friend(s),Sunny,80,2PM,Coffee House,1d,Male,Unmarried partner,0,Bachelors degree,Student,2,4,3,2,1,0,1,0,1,0,0,1,0,0,0,1
No Urgent Place,Friend(s),Sunny,80,2PM,Restaurant(<20),1d,Male,Unmarried partner,0,Bachelors degree,Student,2,4,3,2,1,0,1,0,1,0,0,1,0,0,0,1
No Urgent Place,Friend(s),Sunny,80,6PM,Coffee House,2h,Male,Unmarried partner,0,Bachelors degree,Student,2,4,3,2,1,0,0,0,1,0,0,1,0,0,0,0
No Urgent Place,Friend(s),Sunny,80,6PM,Restaurant(<20),2h,Male,Unmarried partner,0,Bachelors degree,Student,2,4,3,2,1,0,0,0,1,0,0,1,0,0,0,1
No Urgent Place,Friend(s),Sunny,55,2PM,Coffee House,2h,Male,Unmarried partner,0,Bachelors degree,Student,2,4,3,2,1,0,0,0,1,0,0,1,0,0,0,0
No Urgent Place,Friend(s),Sunny,55,2PM,Carry out & Take away,1d,Male,Unmarried partner,0,Bachelors degree,Student,2,4,3,2,1,0,1,0,1,0,0,1,0,0,0,1
No Urgent Place,Alone,Sunny,55,10AM,Coffee House,2h,Male,Unmarried partner,0,Bachelors degree,Student,2,4,3,2,1,0,0,0,1,0,0,1,0,0,0,0
Home,Alone,Sunny,55,6PM,Bar,1d,Male,Unmarried partner,0,Bachelors degree,Student,2,4,3,2,1,1,1,0,1,0,0,1,0,0,0,0
Home,Alone,Sunny,55,6PM,Restaurant(20-50),1d,Male,Unmarried partner,0,Bachelors degree,Student,2,4,3,2,1,0,0,0,1,0,0,1,0,0,0,1
Home,Alone,Sunny,80,6PM,Coffee House,2h,Male,Unmarried partner,0,Bachelors degree,Student,2,4,3,2,1,0,0,0,1,0,0,1,0,0,0,0
Work,Alone,Sunny,55,7AM,Coffee House,2h,Male,Unmarried partner,0,Bachelors degree,Student,2,4,3,2,1,0,1,0,1,0,0,1,0,0,0,2
Work,Alone,Sunny,55,7AM,Bar,1d,Male,Unmarried partner,0,Bachelors degree,Student,2,4,3,2,1,0,1,0,1,0,0,1,0,0,0,2
Work,Alone,Sunny,80,7AM,Restaurant(20-50),1d,Male,Unmarried partner,0,Bachelors degree,Student,2,4,3,2,1,0,0,0,1,0,0,1,0,0,0,1
Work,Alone,Sunny,80,7AM,Carry out & Take away,2h,Male,Unmarried partner,0,Bachelors degree,Student,2,4,3,2,1,1,1,0,1,0,0,1,0,0,0,0
Work,Alone,Sunny,55,7AM,Restaurant(<20),1d,Male,Unmarried partner,0,Bachelors degree,Student,2,4,3,2,1,0,1,0,1,0,0,1,0,0,0,0
Work,Alone,Sunny,55,7AM,Coffee House,2h,Male,Unmarried partner,0,Bachelors degree,Student,2,4,3,2,1,0,1,0,1,0,0,1,0,0,0,1
No Urgent Place,Alone,Sunny,55,2PM,Restaurant(<20),1d,Female,Married partner,1,Some college - no degree,Unemployed,0,1,4,3,0,0,1,1,0,0,0,1,0,0,0,0
No Urgent Place,Friend(s),Sunny,80,10AM,Coffee House,2h,Female,Married partner,1,Some college - no degree,Unemployed,0,1,4,3,0,0,1,1,0,0,0,1,0,0,0,0
No Urgent Place,Friend(s),Sunny,80,10AM,Carry out & Take away,2h,Female,Married partner,1,Some college - no degree,Unemployed,0,1,4,3,0,0,1,1,0,0,0,1,0,0,0,1
No Urgent Place,Friend(s),Sunny,80,2PM,Coffee House,2h,Female,Married partner,1,Some college - no degree,Unemployed,0,1,4,3,0,0,1,1,0,0,0,1,0,0,0,1
No Urgent Place,Friend(s),Sunny,80,2PM,Coffee House,1d,Female,Married partner,1,Some college - no degree,Unemployed,0,1,4,3,0,0,1,1,0,0,0,1,0,0,0,1
No Urgent Place,Friend(s),Sunny,80,6PM,Restaurant(<20),2h,Female,Married partner,1,Some college - no degree,Unemployed,0,1,4,3,0,0,1,1,0,0,0,1,0,0,0,1
No Urgent Place,Friend(s),Sunny,55,2PM,Carry out & Take away,1d,Female,Married partner,1,Some college - no degree,Unemployed,0,1,4,3,0,0,1,1,0,0,0,1,0,0,0,1
No Urgent Place,Kid(s),Sunny,80,10AM,Restaurant(<20),2h,Female,Married partner,1,Some college - no degree,Unemployed,0,1,4,3,0,0,1,1,0,0,0,1,0,0,0,1
No Urgent Place,Kid(s),Sunny,80,10AM,Carry out & Take away,2h,Female,Married partner,1,Some college - no degree,Unemployed,0,1,4,3,0,0,1,1,0,0,0,1,0,0,0,1
No Urgent Place,Kid(s),Sunny,80,10AM,Bar,1d,Female,Married partner,1,Some college - no degree,Unemployed,0,1,4,3,0,0,0,1,0,0,0,1,0,0,0,1
No Urgent Place,Kid(s),Sunny,80,2PM,Restaurant(<20),1d,Female,Married partner,1,Some college - no degree,Unemployed,0,1,4,3,0,0,1,1,0,0,0,1,0,0,0,0
No Urgent Place,Kid(s),Sunny,55,2PM,Restaurant(<20),1d,Female,Married partner,1,Some college - no degree,Unemployed,0,1,4,3,0,0,1,1,0,0,0,1,0,0,0,1
No Urgent Place,Kid(s),Sunny,55,6PM,Coffee House,2h,Female,Married partner,1,Some college - no degree,Unemployed,0,1,4,3,0,0,0,1,0,0,0,1,0,0,0,1
Home,Alone,Sunny,55,6PM,Bar,1d,Female,Married partner,1,Some college - no degree,Unemployed,0,1,4,3,0,1,0,1,0,0,0,1,0,0,0,0
Home,Alone,Sunny,55,6PM,Restaurant(20-50),1d,Female,Married partner,1,Some college - no degree,Unemployed,0,1,4,3,0,0,0,1,0,0,0,1,0,0,0,1
Home,Alone,Sunny,80,6PM,Coffee House,2h,Female,Married partner,1,Some college - no degree,Unemployed,0,1,4,3,0,0,0,1,0,0,0,1,0,0,0,0
Work,Alone,Sunny,55,7AM,Coffee House,2h,Female,Married partner,1,Some college - no degree,Unemployed,0,1,4,3,0,0,0,1,0,0,0,1,0,0,0,2
Work,Alone,Sunny,55,7AM,Bar,1d,Female,Married partner,1,Some college - no degree,Unemployed,0,1,4,3,0,0,0,1,0,0,0,1,0,0,0,2
Work,Alone,Sunny,80,7AM,Restaurant(20-50),1d,Female,Married partner,1,Some college - no degree,Unemployed,0,1,4,3,0,0,0,1,0,0,0,1,0,0,0,1
Work,Alone,Sunny,80,7AM,Carry out & Take away,2h,Female,Married partner,1,Some college - no degree,Unemployed,0,1,4,3,0,1,0,1,0,0,0,1,0,0,0,0
Work,Alone,Sunny,55,7AM,Restaurant(<20),1d,Female,Married partner,1,Some college - no degree,Unemployed,0,1,4,3,0,0,1,1,0,0,0,1,0,0,0,0
Work,Alone,Sunny,55,7AM,Coffee House,2h,Female,Married partner,1,Some college - no degree,Unemployed,0,1,4,3,0,0,0,1,0,0,0,1,0,0,0,1
No Urgent Place,Alone,Sunny,55,2PM,Restaurant(<20),1d,Male,Single,0,Some college - no degree,Healthcare Support,4,4,4,4,4,0,1,0,1,0,0,1,0,0,0,0
No Urgent Place,Friend(s),Sunny,80,10AM,Coffee House,2h,Male,Single,0,Some college - no degree,Healthcare Support,4,4,4,4,4,0,0,0,1,0,0,1,0,0,0,0
No Urgent Place,Friend(s),Sunny,80,10AM,Bar,1d,Male,Single,0,Some college - no degree,Healthcare Support,4,4,4,4,4,0,1,0,1,0,0,1,0,0,0,0
No Urgent Place,Friend(s),Sunny,80,10AM,Carry out & Take away,2h,Male,Single,0,Some college - no degree,Healthcare Support,4,4,4,4,4,0,0,0,1,0,0,1,0,0,0,1
No Urgent Place,Friend(s),Sunny,80,2PM,Coffee House,1d,Male,Single,0,Some college - no degree,Healthcare Support,4,4,4,4,4,0,1,0,1,0,0,1,0,0,0,0
No Urgent Place,Friend(s),Sunny,80,2PM,Coffee House,2h,Male,Single,0,Some college - no degree,Healthcare Support,4,4,4,4,4,0,0,0,1,0,0,1,0,0,0,1
No Urgent Place,Friend(s),Sunny,80,2PM,Coffee House,1d,Male,Single,0,Some college - no degree,Healthcare Support,4,4,4,4,4,0,1,0,1,0,0,1,0,0,0,1
No Urgent Place,Friend(s),Sunny,80,2PM,Restaurant(<20),1d,Male,Single,0,Some college - no degree,Healthcare Support,4,4,4,4,4,0,1,0,1,0,0,1,0,0,0,1
No Urgent Place,Friend(s),Sunny,80,6PM,Coffee House,2h,Male,Single,0,Some college - no degree,Healthcare Support,4,4,4,4,4,0,0,0,1,0,0,1,0,0,0,0
No Urgent Place,Friend(s),Sunny,80,6PM,Restaurant(<20),2h,Male,Single,0,Some college - no degree,Healthcare Support,4,4,4,4,4,0,0,0,1,0,0,1,0,0,0,1
No Urgent Place,Friend(s),Sunny,55,2PM,Coffee House,2h,Male,Single,0,Some college - no degree,Healthcare Support,4,4,4,4,4,0,0,0,1,0,0,1,0,0,0,0
No Urgent Place,Friend(s),Sunny,55,2PM,Carry out & Take away,1d,Male,Single,0,Some college - no degree,Healthcare Support,4,4,4,4,4,0,1,0,1,0,0,1,0,0,0,1
No Urgent Place,Alone,Sunny,55,10AM,Coffee House,2h,Male,Single,0,Some college - no degree,Healthcare Support,4,4,4,4,4,0,0,0,1,0,0,1,0,0,0,0
Home,Alone,Sunny,55,6PM,Bar,1d,Male,Single,0,Some college - no degree,Healthcare Support,4,4,4,4,4,1,1,0,1,0,0,1,0,0,0,0
Home,Alone,Sunny,55,6PM,Restaurant(20-50),1d,Male,Single,0,Some college - no degree,Healthcare Support,4,4,4,4,4,0,1,0,1,0,0,1,0,0,0,1
Home,Alone,Sunny,80,6PM,Coffee House,2h,Male,Single,0,Some college - no degree,Healthcare Support,4,4,4,4,4,0,0,0,1,0,0,1,0,0,0,0
Work,Alone,Sunny,55,7AM,Coffee House,2h,Male,Single,0,Some college - no degree,Healthcare Support,4,4,4,4,4,0,0,0,1,0,0,1,0,0,0,2
Work,Alone,Sunny,55,7AM,Bar,1d,Male,Single,0,Some college - no degree,Healthcare Support,4,4,4,4,4,0,1,0,1,0,0,1,0,0,0,2
Work,Alone,Sunny,80,7AM,Restaurant(20-50),1d,Male,Single,0,Some college - no degree,Healthcare Support,4,4,4,4,4,0,1,0,1,0,0,1,0,0,0,1
Work,Alone,Sunny,80,7AM,Carry out & Take away,2h,Male,Single,0,Some college - no degree,Healthcare Support,4,4,4,4,4,1,0,0,1,0,0,1,0,0,0,0
Work,Alone,Sunny,55,7AM,Restaurant(<20),1d,Male,Single,0,Some college - no degree,Healthcare Support,4,4,4,4,4,0,1,0,1,0,0,1,0,0,0,0
Work,Alone,Sunny,55,7AM,Coffee House,2h,Male,Single,0,Some college - no degree,Healthcare Support,4,4,4,4,4,0,0,0,1,0,0,1,0,0,0,1
No Urgent Place,Alone,Sunny,55,2PM,Restaurant(<20),1d,Female,Single,1,Associates degree,Healthcare Practitioners & Technical,0,2,3,2,1,0,1,0,1,0,0,1,0,0,0,0
No Urgent Place,Friend(s),Sunny,80,10AM,Coffee House,2h,Female,Single,1,Associates degree,Healthcare Practitioners & Technical,0,2,3,2,1,0,1,0,1,0,0,1,0,0,0,0
No Urgent Place,Friend(s),Sunny,80,10AM,Bar,1d,Female,Single,1,Associates degree,Healthcare Practitioners & Technical,0,2,3,2,1,0,0,0,1,0,0,1,0,0,0,0
